
##############
# h_nominal # 
##############

#Time 	total case
75	73.0940171992
76	67.6935159138
77	62.6890842947
78	58.0516676009
79	53.7543422346
80	49.7721596439
81	46.082001493
82	42.6624453733
83	39.4936403929
84	36.5571919129
85	33.836054754
86	31.3144342267
87	28.9776944126
88	26.812273157
89	24.8056033041
90	22.9460397027
91	21.2227915696
92	19.6258598159
93	18.1459789564
94	16.7745632991
95	15.5036570654
96	14.3258881745
97	13.2344254196
98	12.2229387838
99	11.2855626697
100	10.4168618195
101	9.61179974179
102	8.86570945692
103	8.17426637621
104	7.53346319008
105	6.93958657651
106	6.38919563932
107	5.87910191444
108	5.40635084859
109	4.96820463336
110	4.56212630919
111	4.18576501907
112	3.83694235924
113	3.51363972208
114	3.21398657566
115	2.93624959297
116	2.67882258935
117	2.44021719143
118	2.21905419402
119	2.0140555496
END

##############
# h_gamma_1.1e-05 # 
##############

#Time 	total case
-1	3.9376867652e-10
1	184.445
2	245.948734796
3	206.260425167
4	185.649343719
5	183.188987189
6	226.209010547
7	440.113388065
8	293.651507141
9	351.660688713
10	426.755147443
11	526.285387281
12	245.12794103
13	466.817042996
14	860.562445127
15	864.24309246
16	775.584009418
17	835.899532327
18	1239.23737286
19	1097.8463985
20	987.085096952
21	1748.1732801
22	1895.81094544
23	2822.50521662
24	3062.38334213
25	2898.26814797
26	2000.17548793
27	2710.45284729
28	3508.54068791
29	4377.91505863
30	3355.22419157
31	3138.44122328
32	2077.87204841
33	1358.09817107
34	2003.82621442
35	2115.85896339
36	2141.3731703
37	1748.26205744
38	1466.45413225
39	1206.76397397
40	1038.73252411
41	982.462114623
42	915.480100972
43	846.257742807
44	780.655327452
45	721.501351054
46	668.917217874
47	620.589403366
48	575.45829
49	533.223387982
50	493.908307319
51	457.543134728
52	423.935803323
53	392.833643329
54	364.006400627
55	337.272022146
56	312.487625387
57	289.520929102
58	268.242481785
59	248.527194498
60	230.257973284
61	213.327780982
62	197.638618909
63	183.099986246
64	169.627790274
65	157.143813304
66	145.575478355
67	134.855566366
68	124.921845896
69	115.716674978
70	107.186632651
71	99.2822021724
72	91.9574910699
73	85.169972493
74	78.8802410519
75	73.0517829964
76	67.6507627384
77	62.6458258647
78	58.0079173582
79	53.7101133474
80	49.7274650053
81	46.0368537179
82	42.6168568027
83	39.4476230896
84	36.5107576669
85	33.7892150827
86	31.267200378
87	28.9300773662
88	26.7642836286
89	24.7572517479
90	22.8973363147
